instance_id,n_points,instance_seed,algorithm,run_idx,run_seed,repeats_planned,distance_initial,distance_final,runtime_total_s,runtime_setup_s,runtime_solve_s,device,episodes,alpha,gamma,epsilon_init,n_chains,improvement_pct,gap_to_best_pct
n10_i0,10,10042,classic_cpu,0,10042,20,3709.13330078125,3151.1967163085938,0.0002595999976620078,0.0,0.0002595999976620078,cpu,,,,,,15.0422359950002,2.130577435294557e-05
n10_i0,10,10042,classic_cpu,1,10043,20,3496.35400390625,3151.1964111328125,0.00015949999215081334,0.0,0.00015949999215081334,cpu,,,,,,9.871929226497524,1.1621331465243038e-05
n10_i0,10,10042,classic_cpu,2,10044,20,3581.548828125,3410.8416748046875,0.00014350004494190216,0.0,0.00014350004494190216,cpu,,,,,,4.766294179205159,8.23958986306895
n10_i0,10,10042,classic_cpu,3,10045,20,3907.53857421875,3292.4155883789062,0.00016950001008808613,0.0,0.00016950001008808613,cpu,,,,,,15.741955559909677,4.481458514287149
n10_i0,10,10042,classic_cpu,4,10046,20,3898.72314453125,3292.4156494140625,0.00017070001922547817,0.0,0.00017070001922547817,cpu,,,,,,15.551437551231528,4.481460451175726
n10_i0,10,10042,classic_cpu,5,10047,20,4208.23876953125,3151.196044921875,0.00015969999367371202,0.0,0.00015969999367371202,cpu,,,,,,25.118411347346566,0.0
n10_i0,10,10042,classic_cpu,6,10048,20,3151.1962890625,3151.1962890625,0.0001194999786093831,0.0,0.0001194999786093831,cpu,,,,,,0.0,7.747554310162026e-06
n10_i0,10,10042,classic_cpu,7,10049,20,3151.196044921875,3151.196044921875,0.000132200017105788,0.0,0.000132200017105788,cpu,,,,,,0.0,0.0
n10_i0,10,10042,classic_cpu,8,10050,20,3410.841796875,3151.1961669921875,0.0001241000136360526,0.0,0.0001241000136360526,cpu,,,,,,7.612362148273744,3.873777155081013e-06
n10_i0,10,10042,classic_cpu,9,10051,20,3968.514404296875,3292.4152221679688,0.00017129996558651328,0.0,0.00017129996558651328,cpu,,,,,,17.03658128081545,4.481446892955684
n10_i0,10,10042,classic_cpu,10,10052,20,3709.13330078125,3151.1967163085938,0.00015350000467151403,0.0,0.00015350000467151403,cpu,,,,,,15.0422359950002,2.130577435294557e-05
n10_i0,10,10042,classic_cpu,11,10053,20,3496.35400390625,3151.1964111328125,0.00012010004138574004,0.0,0.00012010004138574004,cpu,,,,,,9.871929226497524,1.1621331465243038e-05
n10_i0,10,10042,classic_cpu,12,10054,20,3581.548828125,3410.8416748046875,0.00012560002505779266,0.0,0.00012560002505779266,cpu,,,,,,4.766294179205159,8.23958986306895
n10_i0,10,10042,classic_cpu,13,10055,20,3907.53857421875,3292.4155883789062,0.00016390002565458417,0.0,0.00016390002565458417,cpu,,,,,,15.741955559909677,4.481458514287149
n10_i0,10,10042,classic_cpu,14,10056,20,3898.72314453125,3292.4156494140625,0.0001577000366523862,0.0,0.0001577000366523862,cpu,,,,,,15.551437551231528,4.481460451175726
n10_i0,10,10042,classic_cpu,15,10057,20,4208.23876953125,3151.196044921875,0.00014490005560219288,0.0,0.00014490005560219288,cpu,,,,,,25.118411347346566,0.0
n10_i0,10,10042,classic_cpu,16,10058,20,3151.1962890625,3151.1962890625,0.00011319998884573579,0.0,0.00011319998884573579,cpu,,,,,,0.0,7.747554310162026e-06
n10_i0,10,10042,classic_cpu,17,10059,20,3151.196044921875,3151.196044921875,0.00012420001439750195,0.0,0.00012420001439750195,cpu,,,,,,0.0,0.0
n10_i0,10,10042,classic_cpu,18,10060,20,3410.841796875,3151.1961669921875,0.00012199999764561653,0.0,0.00012199999764561653,cpu,,,,,,7.612362148273744,3.873777155081013e-06
n10_i0,10,10042,classic_cpu,19,10061,20,3968.514404296875,3292.4152221679688,0.0001700000138953328,0.0,0.0001700000138953328,cpu,,,,,,17.03658128081545,4.481446892955684
n10_i0,10,10042,classic_gpu,0,20042,20,3709.133056640625,3468.5367431640625,0.6018364000483416,5.2200048230588436e-05,0.601784200000111,gpu,,,,,,6.486591605168012,10.07048415009213
n10_i0,10,10042,classic_gpu,1,20043,20,3496.354248046875,3151.1966552734375,0.0064486999763175845,3.539997851476073e-05,0.006413299997802824,gpu,,,,,,9.871928537168355,1.9368885775405065e-05
n10_i0,10,10042,classic_gpu,2,20044,20,3581.549072265625,3292.4154052734375,0.006244599993806332,2.2599997464567423e-05,0.006221999996341765,gpu,,,,,,8.072866269825717,4.481452703621416
n10_i0,10,10042,classic_gpu,3,20045,20,3907.538330078125,3468.5367431640625,0.007114400039426982,2.4800014216452837e-05,0.0070896000252105296,gpu,,,,,,11.234735268874134,10.07048415009213
n10_i0,10,10042,classic_gpu,4,20046,20,3898.722900390625,3292.41552734375,0.007161199988331646,2.3300002794712782e-05,0.007137899985536933,gpu,,,,,,15.551435394039604,4.481456577398571
n10_i0,10,10042,classic_gpu,5,20047,20,4208.2392578125,3151.196533203125,0.00935790000949055,2.6800029445439577e-05,0.00933109998004511,gpu,,,,,,25.118408432861784,1.5495108620324052e-05
n10_i0,10,10042,classic_gpu,6,20048,20,3151.1962890625,3151.1962890625,0.005301100027281791,3.749999450519681e-05,0.005263600032776594,gpu,,,,,,0.0,7.747554310162026e-06
n10_i0,10,10042,classic_gpu,7,20049,20,3151.1962890625,3151.1962890625,0.005155100021511316,2.1600048057734966e-05,0.005133499973453581,gpu,,,,,,0.0,7.747554310162026e-06
n10_i0,10,10042,classic_gpu,8,20050,20,3410.841796875,3151.1961669921875,0.00612489995546639,2.4399952962994576e-05,0.006100500002503395,gpu,,,,,,7.612362148273744,3.873777155081013e-06
n10_i0,10,10042,classic_gpu,9,20051,20,3968.5146484375,3292.4155883789062,0.0071514000301249325,2.1299987565726042e-05,0.0071301000425592065,gpu,,,,,,17.036577156765446,4.481458514287149
n10_i0,10,10042,classic_gpu,10,20052,20,3709.133056640625,3468.5367431640625,0.006165699975099415,2.4699955247342587e-05,0.006141000019852072,gpu,,,,,,6.486591605168012,10.07048415009213
n10_i0,10,10042,classic_gpu,11,20053,20,3496.354248046875,3151.1966552734375,0.006120199977885932,2.8199981898069382e-05,0.006091999995987862,gpu,,,,,,9.871928537168355,1.9368885775405065e-05
n10_i0,10,10042,classic_gpu,12,20054,20,3581.549072265625,3292.4154052734375,0.0064480000291951,2.2199994418770075e-05,0.00642580003477633,gpu,,,,,,8.072866269825717,4.481452703621416
