n_points,algorithm,runs,median_distance,median_runtime_s,median_gap_to_best_pct
10,classic_cpu,100,3151.196563720703,0.0001401999907102,0.05769462225886537
10,classic_gpu,100,3143.6672973632812,0.007467549992725199,1.4876774735741488e-05
10,ml_cpu,25,3104.364501953125,0.0492702999617904,0.0
10,ml_gpu,25,3208.186279296875,0.4477463000221178,6.829382265364231
20,classic_cpu,100,4042.7549591064453,0.0005816500051877499,1.4823887134918512
20,classic_gpu,100,3972.2227783203125,0.01278785002068615,1.1512325097565026
20,ml_cpu,25,4640.57470703125,0.1186411000089719,20.55296744605085
20,ml_gpu,25,5143.54296875,0.8155589999514632,34.07962923534352
30,classic_cpu,100,4864.615089416504,0.00142489996505895,4.285367986491197
30,classic_gpu,100,4752.132797241211,0.0170264499902259,2.178350540255782
30,ml_cpu,25,7118.8408203125,0.2135422000428661,62.33947101117829
30,ml_gpu,25,6753.77978515625,1.2082947000162676,51.089756607359725
40,classic_cpu,100,5416.494445800781,0.00311334998696105,3.8755503391852018
40,classic_gpu,100,5326.382827758789,0.0233747999882325,2.2777494077584213
40,ml_cpu,25,9864.599609375,0.3339794999919832,88.63895514654808
40,ml_gpu,25,8355.3193359375,1.6114960000268184,61.88108509558816
50,classic_cpu,100,6061.981384277344,0.0056318500137421505,6.124127588170597
50,classic_gpu,100,5861.225372314453,0.0290380500082392,3.6271391097874455
50,ml_cpu,25,12570.052734375,0.466499800037127,125.76390417245536
50,ml_gpu,25,9556.4326171875,1.9941202000482008,75.36982726010538
100,classic_cpu,5,8652.845085144043,0.0275006999727338,1.8691848600443424
100,classic_gpu,5,8425.967086791992,0.0760911999968811,0.0
100,ml_cpu,25,24227.736328125,1.5610206000274047,191.48026362913515
100,ml_gpu,25,18135.6953125,3.9107650000369176,118.19128947603926
500,classic_cpu,5,18040.542541503903,3.5602125999866985,0.8732125252855155
500,classic_gpu,5,17724.264068603516,3.068820099986624,0.0
500,ml_cpu,25,110315.015625,32.03636829997413,520.5078656570543
500,ml_gpu,25,106335.015625,19.461045900010504,499.2028148385051
